age,income,expenses,savings,debt,investment_amount,employment_years,credit_score,num_dependents,property_value,savings_rate,debt_to_income,expense_ratio,investment_risk_score,affordability_amount,financial_health_score,scenario_category
56,137554.20254869008,93268.79015194604,44285.41239674404,88458.927424262,30945.08840511449,20,713.3556597183314,1,410010.4329779522,0.3219488141852178,0.6430794748962724,0.6780511858147822,93.03739651947272,449896.0297328344,75.20839385723822,moderate_risk
69,113451.43971158193,92420.75652160104,21030.68318998089,0.0,8638.039177988338,25,761.0943740434943,1,0.0,0.18537167305629113,0.0,0.8146283269437089,90.70884115001401,208804.9899662072,72.10980013004615,low_risk
46,71610.64354841708,43818.06973117013,27792.57381724695,102756.39941121887,13294.676367439952,18,416.9340269015634,0,0.0,0.3881067455909114,1.4349118986739164,0.6118932544090886,88.31957468730033,277444.4497395227,48.88014777112399,conservative
32,64236.13987809476,44130.17593688599,20105.963941208764,2550.138027260911,13049.487101348694,14,726.5303538863195,3,0.0,0.3130008119940769,0.039698810253700645,0.6869991880059231,100.0,203456.8435166831,88.7098249736968,low_risk
60,120983.45527737144,84531.6343247967,36451.82095257474,0.0,15526.10203044308,7,803.6481764648514,2,0.0,0.3012959157845497,0.0,0.6987040842154503,100.0,362358.36276907194,85.72623686917939,low_risk
25,51165.6906989352,38615.18504918861,12550.505649746592,34191.682573498125,7110.612513858439,7,527.0742392037087,0,0.0,0.24529143412907703,0.6682410393644955,0.7547085658709229,100.0,126173.34424865404,57.04162979683201,conservative
78,128260.37447125885,102254.45641042,26005.918060838856,0.0,6511.285970313543,23,814.4310834114874,2,0.0,0.20275878788008977,0.0,0.7972412121199102,100.0,254865.84216030384,73.73568570920591,low_risk
38,85772.89457706304,67067.22303132329,18705.67154573975,82879.59509863272,9520.75552489692,20,560.3719294941257,2,0.0,0.21808371558375655,0.966256639124274,0.7819162844162434,88.1118158669585,187191.05125901918,45.586872168197914,conservative
56,137707.86832623414,108535.21737061442,29172.650955619712,0.0,3676.4660913505504,36,771.5539890800959,0,293152.54129139305,0.21184447417709504,0.0,0.7881555258229049,85.08573207344833,282998.62204702967,70.28845772434438,low_risk
75,118968.16076936113,77102.87883299838,41865.28193636275,213440.54816306455,10310.591458576502,25,541.3957575413431,1,387290.1458682789,0.3519032459241369,1.7940829941370253,0.6480967540758631,93.81174412304644,410155.1797559436,44.6391429832568,conservative
36,51389.700133468206,42547.29635464988,8842.403778818327,58758.039957948225,6584.151745822344,18,582.4512140511015,2,0.0,0.17206568156367966,1.1433593978160659,0.8279343184363204,92.69991791409403,90154.39767331381,42.85721153341103,conservative
40,76437.94702340286,53776.93691915494,22661.010104247915,56535.480478285914,11707.864808636026,22,619.7568143407085,1,0.0,0.29646283013474756,0.7396161600836388,0.7035371698652524,95.03876164978473,226911.98884768877,61.360618953637434,moderate_risk
28,52517.229510704274,31656.191588442263,20861.03792226201,75175.47065213876,8737.767351227487,10,497.2700632175638,2,109170.58543203588,0.397222742262328,1.4314166976405114,0.602777257737672,95.68799979072466,207256.1779346973,50.604410388865716,conservative
28,61560.84565989768,47218.64888376188,14342.196776135796,0.0,6674.5809405155715,1,766.4235526399375,1,0.0,0.23297595447878444,0.0,0.7670240455212156,100.0,143024.7538033161,80.3407401496162,low_risk
41,70868.44404060848,53222.25106547936,17646.192975129117,0.0,1764.9818381513549,23,698.4449089930372,0,0.0,0.24899930023887126,0.0,0.7510006997611287,100.0,170815.43803176063,70.5015316795862,low_risk
70,143428.18479938948,90573.3796202499,52854.80517913957,62642.71178294165,22289.907523311602,43,811.2565541322912,4,663036.5498311035,0.36851059122770513,0.43675010682489984,0.6314894087722949,100.0,525238.0557383891,77.86088732605673,moderate_risk
53,101653.48214979874,85385.56041304133,16267.921736757417,30533.133156100015,3266.3992227715567,1,776.0647971599221,0,0.0,0.1600330986476652,0.3003618975807302,0.8399669013523348,84.413711744919,158785.16805108846,58.34680818065374,conservative
57,118059.68353229531,87410.33986556286,30649.343666732457,0.0,21475.78392362114,39,788.2960616028752,2,408897.3314078649,0.25960889229682127,0.0,0.7403911077031787,100.0,311414.3263395285,90.38573765338839,low_risk
41,53571.73186399923,38427.86023039364,15143.871633605588,34242.736550600726,5898.037577509388,0,755.4852787495695,0,133439.4524723184,0.28268400342275346,0.6391821988382074,0.7173159965772465,99.77216190156469,150099.59774462116,65.73372364237926,moderate_risk
20,38152.95583284784,26689.15838807582,11463.797444772019,0.0,3008.1717263895907,2,705.7557555065127,1,0.0,0.300469444490648,0.0,0.699530555509352,100.0,112458.99285092305,76.32774182457544,low_risk
39,60344.54445118085,39372.5731286123,20971.971322568555,0.0,9611.339528433788,11,734.8755505367473,1,179441.31879147084,0.34753715540159597,0.0,0.6524628445984041,100.0,209019.99631940515,85.69424391957594,low_risk
70,114464.32674119956,95944.36522392902,18519.961517270538,206380.17392709202,6593.153689516595,8,520.5294247555182,0,0.0,0.16179679769701194,1.8029929219850775,0.8382032023029881,91.55864106787655,183066.15351741045,31.96370160934278,conservative
19,24503.874721664157,19003.726664659596,5500.1480570045605,0.0,2321.2333493891215,1,707.5807630341149,1,0.0,0.22446034023108258,0.0,0.7755396597689175,100.0,54658.40802675508,75.44496944313033,low_risk
41,75734.91910220282,56187.80746306223,19547.111639140596,51764.71237352477,11885.146253457306,23,667.7902674661062,0,0.0,0.2580990627686833,0.6834895910310431,0.7419009372313168,83.8999682689127,197160.38873851555,65.32337879870086,moderate_risk
61,105057.27276497234,79612.4066013498,25444.866163622544,152830.12951773914,11614.57092413638,27,416.44600577808956,2,458465.9190397063,0.2421999495508153,1.454717705664532,0.7578000504491846,100.0,253562.37191008555,40.568355846122486,conservative
47,83094.39970037852,67315.19819297903,15779.201507399484,0.0,11683.990050440725,29,807.4638082263085,2,0.0,0.18989488538693428,0.0,0.8101051146130658,100.0,160827.52651138764,81.11696016864202,low_risk
55,121009.76135817199,91837.94668793282,29171.814670239168,219289.20049215283,8161.632810114395,32,450.0726398426349,0,0.0,0.24106992975463087,1.8121462755125786,0.7589300702453692,100.0,286578.72708238754,37.67302784830845,conservative
19,30149.64661912239,18953.50546755207,11196.141151570322,0.0,3675.079816249024,1,783.9572011463042,3,0.0,0.37135231775715666,0.0,0.6286476822428434,83.5029530649425,110423.01890807431,84.18711263891547,low_risk
77,149407.0803292144,115689.45664946036,33717.62367975403,44893.042861039976,21723.659488621375,21,738.7443425625702,0,533674.3886193103,0.22567621029377039,0.30047265691467323,0.7743237897062296,97.34776721492595,341068.11491653585,74.53854494692406,moderate_risk
38,37244.15760113211,27606.01557563012,9638.142025501988,5817.2054407591795,6249.09767595358,20,778.5904003785661,0,0.0,0.2587826560268077,0.15618689288570387,0.7412173439731923,100.0,97525.44158558195,84.627719060617,low_risk
50,78802.89757772353,66319.41748187276,12483.48009585077,85712.0342678842,9782.243817099574,17,574.6323690257545,2,393443.11432657787,0.1584139730844069,1.0876623733406998,0.8415860269155931,100.0,127667.20397384705,40.73808781868129,conservative
29,34389.68055907349,26941.90068860726,7447.779870466227,0.0,4020.8694895543526,5,782.107792835085,1,162271.2155651279,0.21657019633179408,0.0,0.7834298036682059,98.12612211140292,74715.38234811927,80.26275177037648,low_risk
75,120290.7912728646,82519.57050457837,37771.220768286235,40441.02253497069,18949.200539407593,17,774.3230595356985,1,0.0,0.31399927100493463,0.33619104102653236,0.6860007289950654,100.0,377763.079807074,78.90805933280484,moderate_risk
39,53020.03442605531,33606.720341346736,19413.314084708574,84583.31264799365,9943.373723608891,15,446.9659202187327,0,225025.67294279684,0.366150537148056,1.595278431731769,0.633849462851944,100.0,194322.51419208944,50.43390872943363,conservative
78,102090.93656590545,73563.6812827337,28527.255283171748,76654.46395933782,10068.012514153848,14,699.7853514669521,3,0.0,0.2794298518826478,0.7508375934259366,0.7205701481173522,78.9278898367329,281916.06072977185,59.26283335449344,conservative
61,105183.81973504642,80974.56139331251,24209.258341733905,18094.744484918072,8944.62242195445,7,782.8737976421387,2,324796.09800614073,0.23016142979705434,0.1720280980705917,0.7698385702029457,100.0,239564.57801820908,74.16796938730397,low_risk
42,61701.92311120909,39755.71396057365,21946.20915063544,32364.687566472614,6493.828733712003,12,580.4896510483702,0,0.0,0.35568112052326906,0.524524381254041,0.6443188794767309,100.0,215878.6708330699,60.16076543516466,moderate_risk
66,138934.8833778556,105918.54615388616,33016.33722396946,188085.59205334648,17096.425136769092,42,556.6114016764732,1,0.0,0.23763893142787082,1.353758204723983,0.7623610685721292,82.82400946657465,330633.9774595221,47.73331025035939,conservative
44,51125.37084677184,41227.64933402937,9897.721512742472,0.0,6811.305129795354,6,746.4770819565836,3,105991.9290992266,0.19359706049677358,0.0,0.8064029395032264,66.8776710754351,100467.170626164,77.97660786125984,low_risk
76,100259.87131273109,64092.38045625862,36167.49085647247,52629.328476272734,19654.846491959597,16,746.4661754047447,2,0.0,0.36073745540385393,0.5249239088708166,0.6392625445961461,100.0,362931.7894157034,76.77452538873337,moderate_risk
59,114918.37900222739,89227.96464672183,25690.414355505563,78421.62692737568,11067.617122948443,31,770.2267624434037,0,456506.9302098704,0.22355357409807897,0.682405592583786,0.776446425901921,100.0,255482.07151121218,61.299927901807294,moderate_risk
45,91790.25065453468,56640.4967170239,35149.75393751078,0.0,5080.555236924638,21,849.9361048170066,1,322115.42461717105,0.38293559160004637,0.0,0.6170644083999537,100.0,341502.0819896432,80.53199709460175,low_risk
77,113866.67749453399,68546.31887775002,45320.35861678397,217089.96655750775,12388.802882844588,12,494.9590771343295,0,401498.32058892184,0.3980124792783166,1.9065108846883152,0.6019875207216834,100.0,444986.4850274017,44.741775857011305,conservative
33,44243.913234581094,26907.319498332832,17336.593736248262,0.0,11988.441871140893,15,686.9667257133088,1,151493.7902797871,0.3918413284179836,0.0,0.6081586715820164,99.28970247162319,176022.053364896,92.58939662333222,low_risk
32,75939.0892127522,57552.42414262824,18386.665070123956,141157.15806612693,6938.16115286493,14,350.0827931124465,3,285691.69807352463,0.2421238555892022,1.8587963160099,0.7578761444107978,78.20425827688277,182062.51359548193,35.625237758924314,conservative
79,132441.5766096069,111693.34718312841,20748.2294264785,215583.19156154693,14936.565225346943,21,508.4370601336498,1,0.0,0.15665948682895314,1.627748395419765,0.8433405131710469,76.93068672917032,211132.2546744712,36.41812752717512,conservative
79,101528.10977361375,80495.85753705936,21032.252236554385,68060.47145541073,5676.479651615732,0,769.8845297841336,1,376175.6430786196,0.20715693696506188,0.6703542620157876,0.7928430630349381,96.82685618086116,206450.80519221467,55.906212181665374,conservative
64,93943.61102052403,62341.197753630375,31602.41326689365,130421.46799602325,15896.172567817095,28,575.0875767100126,3,0.0,0.33639768498987566,1.3882804620642917,0.6636023150101243,91.06802854902689,316100.1054164327,54.42477312340421,conservative
79,109373.725855658,67584.45019946879,41789.27565618922,103604.34317046103,32370.67221083339,4,737.8975249633365,2,0.0,0.38207782837478804,0.9472420832138847,0.617922171625212,100.0,427073.5840680832,71.22338087253182,moderate_risk
68,121285.18111374388,91468.86059810924,29816.320515634638,236906.6219394239,14603.878102392227,34,470.35008330476796,2,589049.196809106,0.2458364677517548,1.9532861844932652,0.7541635322482452,100.0,297919.77943200635,44.36767492959013,conservative
61,108142.90726645791,64973.039616773225,43169.86764968469,138095.76899260405,10630.361913895033,9,601.4623870546459,0,392121.83370883774,0.3991927787119373,1.2769630068233724,0.6008072212880627,90.28064870152554,422935.018968089,48.53266547398715,conservative
72,120149.60140698121,95896.9725534862,24252.628853495014,124733.1471623199,6322.251319129107,18,653.9332110998495,2,588254.7536782536,0.20185359393198812,1.0381400151283173,0.7981464060680119,100.0,237883.0380488554,41.53517159584727,conservative
69,128267.66587972756,84756.72511947382,43510.94076025374,0.0,9153.863376164625,36,849.7522900937615,2,0.0,0.3392198685602694,0.0,0.6607801314397306,100.0,425028.1219993676,82.12521709819785,low_risk
74,100069.588572346,67527.3855650652,32542.203007280797,44080.5953121882,3737.8207532256906,6,677.4891235126413,1,220397.88566552752,0.3251957310062706,0.44049501398025803,0.6748042689937294,91.62155948509243,315395.40547247627,59.881405313862146,conservative
20,50311.78680045526,34513.6214456426,15798.165354812656,30830.04584954692,9237.169049702099,2,595.7648107704592,4,0.0,0.3140052532316285,0.6127676046214946,0.6859947467683716,100.0,159052.1226459632,66.48415092119811,moderate_risk
54,122447.29769168209,96842.12720449391,25605.17048718818,174535.32537150133,16596.22189744866,36,564.0840935888724,3,0.0,0.20911176457042835,1.4253797615951462,0.7908882354295717,98.54557521233704,259086.61419496546,46.46865558744861,conservative
68,123050.492338856,82005.21243565454,41045.27990320146,0.0,27671.91241717846,12,850.0,2,0.0,0.3335645321123228,0.0,0.6664354678876773,95.71856184124218,416172.2170044768,97.48807543184951,low_risk
24,37887.19475886991,25426.767895304074,12460.426863565837,0.0,1889.0806597600986,6,728.7079129565649,1,0.0,0.3288822765282373,0.0,0.6711177234717627,100.0,121131.36241804012,74.47265804279633,low_risk
38,61815.35699499089,45449.61664408998,16365.74035090091,0.0,12431.183983639366,1,825.5582464865375,1,0.0,0.2647520154615799,0.0,0.7352479845384201,90.47104667567402,167056.05455556023,93.9988730397688,low_risk
26,15000.0,10736.25198235937,4263.74801764063,29870.89236087119,2272.265323408473,5,326.62387485282926,0,37459.96808648164,0.28424986784270867,1.9912600733865202,0.7157501321572913,84.37273740309817,42749.79322807683,41.35760179068647,conservative
56,90636.70217442184,76034.44262809968,14602.259546322151,167798.86918501672,2363.2830090751354,7,422.9169041880222,1,0.0,0.16110757779140586,1.8513142451703717,0.8388924222085942,100.0,142072.31805195275,24.305284891908986,conservative
35,92943.22542069558,61886.16722825853,31057.058192437056,154698.80403516346,4951.164612154747,17,326.18217916025867,2,450599.7048578428,0.33415085447983184,1.664426201143177,0.6658491455201682,93.57108993944894,302108.69033711957,31.517126729546465,conservative
21,23194.6543701794,14449.63902893402,8745.01534124538,23232.735963048013,3995.2527965797062,3,605.303173632058,1,0.0,0.3770271891823729,1.001598643964806,0.6229728108176271,90.07301699156011,87148.34951321942,56.10156049231148,conservative
42,65415.93124708295,48096.76048516829,17319.170761914662,105286.18395935642,4693.596310912656,24,478.76951065212654,3,0.0,0.26475463135269456,1.609463818498079,0.7352453686473054,88.4557328184294,170018.91636311088,40.30078212559952,conservative
77,142564.2925717135,92115.05134279278,50449.24122892073,159366.3017642009,13488.40053082031,39,596.580338278578,0,0.0,0.3538701053319046,1.117847821790399,0.6461298946680953,95.8817992888121,495103.4362222953,47.942133634955105,conservative
31,36378.425248491076,25588.827148286284,10789.598100204792,33356.00916747231,1167.8351622285254,6,666.7864826932727,1,103868.29595135982,0.296593324931027,0.916892142732679,0.7034066750689729,88.14576528913788,104514.40989174883,46.959962147321605,conservative
67,102238.028071198,66127.5039949944,36110.5240762036,45705.22662409107,15803.42891922203,22,739.746976570992,2,0.0,0.3532005141086683,0.4470428513098003,0.6467994858913316,95.76060809631068,359303.77426693216,74.26976250510866,moderate_risk
75,128875.12229548482,105708.8489143118,23166.273381173014,245102.52041267176,3720.8527812660304,18,540.1852502484187,1,641739.3975598447,0.17975752781873133,1.9018458659914144,0.8202424721812687,100.0,225372.90668427377,31.780418669981692,conservative
26,55767.475840278305,38025.745368981494,17741.73047129681,66720.41234736422,2727.5061284492253,8,444.25543380414797,3,0.0,0.3181375919202491,1.1963822095201673,0.6818624080797508,100.0,172502.61742720878,36.44783202166535,conservative
43,76210.83634195173,60489.82696424513,15721.0093777066,0.0,3317.9610835094727,12,845.985599834698,4,0.0,0.206283123664563,0.0,0.793716876335437,99.37193104568476,153576.05889279093,74.79944301241277,low_risk
70,101805.39398008336,85226.47192975957,16578.92205032379,28724.960040152822,1781.582823404975,20,831.8947631978155,0,259180.8638162314,0.16284915172144215,0.2821528090443156,0.8371508482785579,89.48806321593658,160582.91794183236,60.15810108142307,low_risk
19,16461.83919833372,13747.901621193923,2713.937577139797,0.0,468.01906235715774,0,734.0116647660564,0,0.0,0.16486235495572718,0.0,0.8351376450442728,93.31094651947689,26428.21599042778,64.05692025785582,low_risk
37,72716.16471852142,53170.07957822803,19546.08514029339,0.0,10086.556241033215,18,754.3052211582494,0,301980.6692887424,0.2687997258375047,0.0,0.7312002741624953,69.99017536497797,195711.66233964314,84.52118001143397,low_risk
45,96961.05192967973,82010.99351526631,14950.058414413419,0.0,4181.395157863205,27,750.4643543354422,2,0.0,0.15418622340500016,0.0,0.8458137765949999,100.0,146865.6769046594,65.20667855448721,low_risk
64,93279.73612961953,71264.25433970946,22015.481789910074,164697.3622069809,3262.1501948850187,3,530.6909194441791,1,0.0,0.23601569540588999,1.7656095892953012,0.76398430459411,100.0,213958.34533904475,37.58465212624072,conservative
77,132900.3015202037,84009.23551952207,48891.06600068163,105225.12556302267,9525.860097562354,41,661.5874148993134,2,0.0,0.36787776582470083,0.7917539133130784,0.6321222341752991,91.89582240077978,476974.92168459354,53.80956362524482,conservative
24,47216.32105408233,38816.265372569884,8400.055681512444,6277.257332044128,1093.6852280636226,2,606.9953534370991,1,0.0,0.17790576423544066,0.13294395344569018,0.8220942357645593,95.193413549409,81515.48272497037,55.73759154641139,low_risk
61,137487.08434580537,98601.92993571963,38885.15441008574,0.0,25037.007399928487,26,850.0,2,0.0,0.2828276895616057,0.0,0.7171723104383942,100.0,393327.0882567659,93.21031074733447,low_risk
78,163857.10141207647,104569.27169726974,59287.829714806736,123218.71532169852,29231.350521001375,40,720.7354316723851,2,0.0,0.36182642805151655,0.7519842733428449,0.6381735719484835,87.37181595921015,592548.2456789458,68.1641604938592,moderate_risk
25,70866.22677356082,56541.00446222726,14325.222311333557,0.0,6186.972224114138,7,738.2956181859581,1,0.0,0.2021445611476819,0.0,0.7978554388523181,95.72823743746837,142471.71196809347,73.86735579178898,low_risk
64,106279.20584805393,80357.7874524534,25921.41839560053,111955.723329533,18437.60752535199,27,601.4866645130618,1,0.0,0.24389924810559896,1.0534014536026888,0.7561007518944011,99.20020368859636,263595.70261804666,55.4419745832775,conservative
52,95470.96702879811,78336.81576629308,17134.151262505038,0.0,2668.7737889991095,5,850.0,0,0.0,0.17946975709732413,0.0,0.8205302429026758,85.1798982099611,166622.87115124764,70.74232378106115,low_risk
31,67825.93239829173,54724.038806210956,13101.89359208077,127196.85212578991,1651.0753937982897,5,373.5056333334019,1,0.0,0.19316938416921425,1.8753148289070118,0.8068306158307857,76.17158454293204,127099.03879901404,25.09235105010801,conservative
34,54493.14553906702,37056.843333714474,17436.30220535255,98907.68919708958,6919.848631034597,16,387.34401917989067,1,149585.38096574374,0.3199723934609754,1.8150149565366127,0.6800276065390246,100.0,172924.38007621217,41.668516726765525,conservative
53,82715.50591121557,54929.60077581337,27785.9051354022,43276.9684606731,7913.799475112367,22,685.9107045013367,1,174051.42057017557,0.3359213587501573,0.5231962833043841,0.6640786412498427,99.10460879885379,273075.72887995106,64.02886498821825,moderate_risk
67,109683.39635861389,85932.2396938488,23751.15666476509,142914.0733623563,10285.976712853104,32,539.2520824385674,3,470751.0538104425,0.21654286294262637,1.3029571945228906,0.7834571370573736,88.91633125608459,236239.88535202737,41.907174925214605,conservative
57,94134.88910669436,69973.11919354832,24161.76991314604,94349.43109916792,17696.099859001235,15,595.4126810538085,3,252172.56006861984,0.25667178388833717,1.0022684439962268,0.7433282161116629,100.0,246109.87105340298,57.22631168792752,conservative
21,15000.0,9262.030538186746,5737.969461813254,7502.042311532471,2366.2298431683103,3,657.9918720360936,3,0.0,0.38253129745421693,0.5001028139145705,0.617468702545783,74.34688596829469,56977.49070794189,69.543601505478,moderate_risk
19,52641.94346998111,33975.60777261946,18666.335697361646,94450.08485496364,4103.590694043781,1,356.3358425078253,1,0.0,0.3545905501761359,1.7941642056702711,0.6454094498238641,88.4813956368677,182479.69524990686,35.35585926000846,conservative
79,129243.38315614514,82436.38777321449,46806.99538293065,59726.95735271743,30821.603748028854,40,674.4470704860616,2,0.0,0.3621616382974196,0.46212420140965804,0.6378383617025805,100.0,474004.4386745573,79.31475463057936,moderate_risk
